貼文編號,粉絲專頁編號,粉絲專頁名稱,標題,說明,期間（秒）,發佈時間,說明文字類型,永久連結,多文發佈貼文,是分享的貼文,貼文類型,語言,自訂標籤,贊助內容狀態,資料留言,日期,觸及人數,心情、留言和分享,心情,留言,分享,總點擊次數,符合目標廣告受眾的用戶瀏覽情形（Photo Click）,其他點擊次數,連結點擊次數,,,,,,,
8.63E+14,1.00E+14,MindDuo親子共讀,"#年度回顧 
#HappyNewYear 
在過去這一年，感謝各位粉絲不離不棄地陪伴，
總是用心與小編分享親子共讀路上的點滴，
起初小編只是把經營MindDuo親子共讀當作工作，
但隨著與粉絲們真誠地交流越加濃厚，
用心經營社群內容、讓更多人加入親子共讀行列，
已經成為小編日常生活中很大的一部分！
-
在2023年
我們因為有粉絲的支持，
在今年，
我們將會帶來更多豐富的親子共讀內容！
/
粉絲們請在下方留言，
新的一年最期待我們經營哪些內容吧！",,0,01/01/2024 06:52,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid036LukrogRqZyJTTef2NwQ32435bFS1mvbbpcYKzP74YQvaBjyJhxghVmMppnieXTl,0,0,相片,,,,,總期間,6791,172,140,28,4,154,96,58,,,,,,,,
1.56E+15,4.94E+14,MindDuo親子共讀,MindDuo親子共讀新增了 1 張相片。,,0,01/02/2023 18:12,N/A,https://www.facebook.com/MindDuoRead/photos/a.494340637745222/1557557738090168/?type=3,0,0,相片,,,,,總期間,73,40,40,0,0,0,,,,,,,,,,
1.56E+15,4.94E+14,MindDuo親子共讀,"🌧️孩子是不是時常陰晴不定，

有時甚至會突然爆走呢？

今天要來介紹《貝拉的生氣天》！

吃早餐、逛超市、吃晚餐、洗澡……貝拉好生氣好生氣 😡

於是貝拉不停抱怨、怒吼

然而，媽媽並沒有斥責貝拉，

而是選擇讓貝拉將不滿發洩出來。

睡前，貝拉與媽媽一起親子共讀，

情緒緩和的貝拉，做出了一件暖心之舉 ✨

讓媽媽感到好溫暖、好欣慰…

📍小寶貝們鬧脾氣時，大家都是怎麼處理的呢？

小編小時候在外面生氣想回家時，

媽媽都會準備筆和紙，教我練習把情緒寫出來~ ✏️

#MindDuo0到3歲書單推薦",,0,01/03/2023 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid02BebNKKnKfoHnriZD3GoQXAFciM87RNpVPEUn8yeRqrUyt1s8A4KuiGefEB9NCktPl,0,0,相片,,,,,總期間,88,90,83,3,4,13,9,3,,,,,,,,
8.64E+14,1.00E+14,MindDuo親子共讀,"#已開獎
恭喜 林姵吟抽中獲得《底下有什麼？》
#紐約時報評選最佳童書作者新作
在看似簡單的外表下，
往往深藏著各種秘密，
如果不仔細感受以及觀察，
而只因外表即判定世界的話，
那麼世界也會跟著狹隘起來唷👀👀
/
《底下有什麼？》
講述一位悶悶不樂的小男孩，
被爺爺硬拖著出去散散步，
小男孩心理OS：
就已經很不爽了為什麼還有拖我出去？？😡😡
於是賭氣的他就成為了一顆「棉被球」，
將自己的心房以及視野設限住了！
但隨著爺爺的指引，
小男孩漸漸發現，
這個世界在平靜的外表下，
有著驚人的生命力與秘密💚
/
一切人事物看似有共通點，
但因為經歷的事、讀過的書、看過的風景有所不同，
也形塑了個體在外表下的情緒、思想、個性的獨特性！
雖然我們無法全然感受他人的內在，
但只要懷抱接納他人的心，
相信「理解」便是拉近他人距離的秘密武器💞
/
留言告訴小編，
曾經因過度看重表面，
而和家人/孩子/另一半發生誤解的事蹟吧！",,0,01/03/2024 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid07mqhQh5QMVsgxEaCLopQXy6Bp3jsvoMavwV1ozxAnUh4mTLoo3VsCnAGwMxkjosnl,0,0,相片,,,,,總期間,10586,435,215,125,95,439,282,157,,,,,,,,
1.13E+15,1.00E+14,MindDuo親子共讀,"有一天，小魚的世界完全顛倒了…
它的生活也會就此翻轉嗎？

小魚顛倒游是一本需要孩子們翻轉的繪本
除了繪本內部的繪圖完全顛倒過來
它也邀請孩子們願意大膽的做自己～

對成長的孩子們來說
環境的影響會左右性格發展
書中的小魚也是一樣🐟
它一直以來都倒著游
直到有一天突然發現海底世界跟自己
完全不一樣～🐠🐡
大家都是顛倒過來的

困惑的小魚
頓時找不到方向
甚至不小心衝出水面掉到沙灘上🏝️
這是他才發現
原來陸地上有好多生物也都是倒著生活的!

樹上的小猴子🐒
小蛇吊掛休息🐍
蝙蝠也倒立看著他🦇
原來它不孤單
知道了這件事之後
它更大膽地在海底暢遊了

如果有一天
你的世界完全顛倒了🙃
你會怎麼做呢？

三民書局與三民網路書店",,0,01/03/2025 04:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid02sLCNMnTgtuZjgkAJRfPcqsraCgQZvReZtjTqiTwyZYoHiasibshrPFX9VF52PZNLl,0,0,相片,,,,,總期間,3022,1478,42,41,0,1,19,13,6,,,,,,,
1.56E+15,4.94E+14,MindDuo親子共讀,最近MindDuo小編們讀完了可愛的《企鵝體操》，爸媽趕緊和家中孩子一起跟著小編來跳簡單有趣的企鵝體操吧！,最近MindDuo小編們讀完了可愛的《企鵝體操》，爸媽趕緊和家中孩子一起跟著小編來跳簡單有趣的企鵝體操吧！,64,01/04/2023 06:19,N/A,https://www.facebook.com/reel/737888451282451/,0,0,連續短片,,,,,總期間,2332,23,19,3,1,0,,,,,,,,,,
8.65E+14,1.00E+14,MindDuo親子共讀,"#爸媽們的2023回顧
🎆專屬於爸媽們的2023回顧清單來啦🎆
在2023年當中，與孩子經歷了哪些酸甜苦辣呢❓
小編羅列出了爸媽們可能與孩子一年當中經歷的各種事項，
👉👉現在就下載圖片，若有完成便在框框打勾，
並且在下方貼出清單和小編分享吧！！
（也歡迎分享給親朋好友唷！）",,0,01/04/2024 04:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid01AqhuwDnZZRVuP9tPEx4VFi2WFYZV9TpUYJni1dydyWZAV3UCZnivyHMrfN6ZJKyl,0,0,相片,,,,,總期間,9942,97,85,6,6,237,225,12,,,,,,,,
1.56E+15,4.94E+14,MindDuo親子共讀,"上班坐太久覺得肩頸痠痛嗎 😮‍💨？
還是剛跨完年覺得懶洋洋的呢  🫠？
或是跟小編一樣假日躺在床上腳麻呢   😴？
是時候和孩子在新的一年動一動了！！
但該怎麼和孩子共同活動筋骨呢？
《企鵝體操》是簡單又可愛的選擇

《企鵝體操》書中有兩隻企鵝🐧，
分別是大企鵝國王企鵝和小企鵝黑腳企鵝，
大小企鵝一搭一唱地做著各種體操動作，
模樣真的非常逗趣！
而這些體操動作也非常適合親子一起做唷👪
不僅可以一邊共讀繪本一邊跟著旋律做動作🎶
讓孩子同時達到動態與靜態的活動，
書中的動作同時也可以培養孩子的肌耐力與平衡感，
讓孩子小小的身體獲得更加健全的發展💪

《企鵝體操》也獲選於日本的 MOE 繪本書店大獎，
成為日本近三千位童書店員中最想推薦給爸媽的兒童繪本，
現在就和孩子化身為大小企鵝，
一起搖擺吧！
剛跨完年的小編連假玩得太嗨了，
上班覺得骨頭快散了😱
於是就和夥伴們一起示範了企鵝體操！
動作操考影片請看留言處唷！

#MindDuo0到3歲書單推薦",,0,01/05/2023 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid02WUuvZeHF4WbX3kjVQDxN42cqSnQqp6e3HYoQ3RoLENkAd523Xu2rvvETcGRSYEdBl,0,0,相片,,,,,總期間,106,51,48,2,1,9,8,1,,,,,,,,
8.65E+14,1.00E+14,MindDuo親子共讀,"在面對未知事物後，
我們常常感到害怕😫

今天要介紹的這本書
《大刺蝟與小刺蝟 2: 我不怕》
書中的小刺蝟也是一樣🦔
小刺蝟不喜歡黑暗，
所以不斷的對自己打氣「我不怕」。
／
作者用溫暖的插畫和文字
來傳達「害怕」是有意義的
勇敢面對恐懼
而且能在危險裡鼓足勇氣💪🏻
／
在共讀時，
 一邊翻開繪本，
心理也能感到孤獨與害怕，

但藉由大刺蝟的鼓勵
和小刺蝟的勇敢
我們也能走出了未知的恐懼慌亂！
/
要如何教導孩子面對恐懼呢！
留言處跟小編分享吧！
小光點",,0,01/05/2024 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid0JWfZYWL6r1MMtGzqYqMtgsMUXx3fREuirPmbAaXYKfDN9sK3oG2T8rno56av7CzEl,0,0,相片,,,,,總期間,5444,84,79,0,5,72,25,47,,,,,,,,
1.56E+15,4.94E+14,MindDuo親子共讀,"🎶🎶🎶🎶🎶🎶🎶🎶
（柯南背景音樂）
真相只有一個！
（抱歉小編又發作了）

其實今天MindDuo小編來介紹一本偵探歷險橋樑書🕵🕵
就是最新的福爾摩斯偵探遊戲系列的最新作品，
《福爾摩斯偵探遊戲: 農場怪盜抓鬼任務》🤩
這本書最大的特色在於，
書中隨書附贈了特別的紅色濾光放大鏡🔍
書中的各種謎題遊戲，
可都是要靠它才能完成呢！
此外，解謎的過程中圖片與文字的配合，
也訓練了孩童對於資訊的整合能力以及邏輯思考能力！

看似風平浪靜的一天，
農場卻發生了一件離奇的事件！？😱
農夫農場的蛋居然被偷光光了！
只好請求大偵探福爾摩斯，
派出他的動物偵探團，
一起揪出可惡的兇手到底素隨🤬

書本中的每個解謎場景，
都與故事劇情的推進有所關聯，
從一個線索的細節中連結到另外一個線索，
抽絲剝繭解謎的方式可以讓孩子獲得很大的成就感🥳🥳

#MindDuo低年級書單推薦",,0,01/06/2023 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid0m6vv5M4HScb3XdBgY2r9TX54eNTMSm5j1HU9MVeRWUBb4A7uR2WWdW5TSshgspb9l,0,0,相片,,,,,總期間,86,44,38,3,3,1,1,,,,,,,,,
